t,Mdot,L_u,L_g,L_r,L_i,L_z,L_y
5807.57436,2.520356263718471e+18,9.874816613038637e+18,9.028692424731088e+18,8.215776101463935e+18,7.558290062580947e+18,7.015756951868563e+18,6.539992506531215e+18
5807.67436,2.5107893281779896e+18,9.849721800181256e+18,9.005912881423468e+18,8.195502031627988e+18,7.540252875808023e+18,6.999604390870297e+18,6.525459533370438e+18
5807.77436,2.5012421424963005e+18,9.824646897899297e+18,8.983150260873489e+18,8.175240241089367e+18,7.522223631683187e+18,6.983456572265244e+18,6.510929012438563e+18
5807.874360000001,2.491714699459868e+18,9.799591924945633e+18,8.960404585441342e+18,8.154990756488135e+18,7.504202356112008e+18,6.967313518355161e+18,6.496400961714223e+18
5807.974360000001,2.482206991836246e+18,9.774556900081869e+18,8.937675877493578e+18,8.134753604494163e+18,7.486189075053954e+18,6.95117525150511e+18,6.481875399238364e+18
5808.074360000001,2.4727190123739356e+18,9.749541842078015e+18,8.914964159402737e+18,8.114528811806797e+18,7.468183814522168e+18,6.935041794143387e+18,6.467352343114263e+18
5808.174360000002,2.4632507538022164e+18,9.724546769712103e+18,8.89226945354694e+18,8.094316405154484e+18,7.45018660058324e+18,6.91891316876143e+18,6.452831811507508e+18
5808.274360000002,2.453802208830992e+18,9.699571701769837e+18,8.869591782309481e+18,8.074116411294389e+18,7.432197459356998e+18,6.902789397913746e+18,6.438313822646021e+18
5808.3743600000025,2.444373370150637e+18,9.674616657044253e+18,8.846931168078461e+18,8.053928857012053e+18,7.414216417016317e+18,6.886670504217833e+18,6.423798394820056e+18
5808.474360000003,2.4349642304318433e+18,9.649681654335349e+18,8.824287633246352e+18,8.033753769121026e+18,7.396243499786871e+18,6.870556510354102e+18,6.409285546382204e+18
5808.574360000003,2.425574782325472e+18,9.624766712449776e+18,8.801661200209671e+18,8.013591174462506e+18,7.378278733946958e+18,6.854447439065811e+18,6.394775295747405e+18
5808.674360000004,2.41620501846239e+18,9.599871850200386e+18,8.779051891368479e+18,7.993441099904923e+18,7.360322145827218e+18,6.838343313158934e+18,6.380267661392925e+18
5808.774360000004,2.406854931453328e+18,9.574997086405968e+18,8.756459729126059e+18,7.973303572343618e+18,7.342373761810478e+18,6.822244155502127e+18,6.365762661858374e+18
5808.874360000004,2.3975245138887286e+18,9.550142439890848e+18,8.733884735888484e+18,7.95317861870045e+18,7.32443360833148e+18,6.806149989026617e+18,6.351260315745717e+18
5808.974360000005,2.388213758338598e+18,9.525307929484567e+18,8.711326934064259e+18,7.933066265923442e+18,7.306501711876707e+18,6.790060836726153e+18,6.336760641719277e+18
5809.074360000005,2.378922657352356e+18,9.500493574021474e+18,8.68878634606386e+18,7.91296654098637e+18,7.28857809898411e+18,6.773976721656873e+18,6.322263658505711e+18
5809.174360000005,2.3696512034586936e+18,9.475699392340414e+18,8.666262994299374e+18,7.892879470888423e+18,7.270662796242915e+18,6.75789766693725e+18,6.307769384894032e+18
5809.274360000006,2.360399389165428e+18,9.450925403284357e+18,8.643756901184083e+18,7.872805082653787e+18,7.252755830293385e+18,6.741823695747991e+18,6.293277839735611e+18
5809.374360000006,2.351167206959352e+18,9.42617162570003e+18,8.621268089132075e+18,7.852743403331313e+18,7.234857227826595e+18,6.725754831331962e+18,6.278789041944168e+18
5809.4743600000065,2.3419546493060987e+18,9.401438078437603e+18,8.598796580557846e+18,7.832694459994104e+18,7.216967015584206e+18,6.709691096994102e+18,6.264303010495793e+18
5809.574360000007,2.3327617086499907e+18,9.376724780350274e+18,8.576342397875877e+18,7.812658279739141e+18,7.199085220358233e+18,6.693632516101318e+18,6.249819764428922e+18
5809.674360000007,2.3235883774139177e+18,9.352031750293959e+18,8.553905563500243e+18,7.792634889686911e+18,7.181211868990805e+18,6.677579112082396e+18,6.235339322844347e+18
5809.774360000008,2.3144346479991726e+18,9.327359007126921e+18,8.531486099844225e+18,7.772624316980998e+18,7.163346988373946e+18,6.661530908427946e+18,6.220861704905227e+18
5809.874360000008,2.3053005127853322e+18,9.302706569709412e+18,8.50908402931989e+18,7.752626588787741e+18,7.145490605449336e+18,6.645487928690261e+18,6.206386929837084e+18
5809.974360000008,2.2961859641301059e+18,9.278074456903313e+18,8.48669937433769e+18,7.732641732295796e+18,7.127642747208063e+18,6.629450196483258e+18,6.191915016927787e+18
5810.074360000009,2.2870909943692196e+18,9.25346268757181e+18,8.464332157306072e+18,7.712669774715798e+18,7.109803440690422e+18,6.613417735482388e+18,6.177445985527581e+18
5810.174360000009,2.278015595816253e+18,9.22887128057897e+18,8.441982400631049e+18,7.692710743279925e+18,7.09197271298562e+18,6.597390569424511e+18,6.162979855049051e+18
5810.274360000009,2.2689597607625336e+18,9.204300254789469e+18,8.419650126715836e+18,7.672764665241559e+18,7.074150591231603e+18,6.58136872210785e+18,6.14851664496716e+18
5810.37436000001,2.2599234814769874e+18,9.179749629068172e+18,8.397335357960405e+18,7.652831567874843e+18,7.056337102614764e+18,6.56535221739185e+18,6.134056374819222e+18
5810.47436000001,2.2509067502060178e+18,9.155219422279839e+18,8.375038116761123e+18,7.632911478474348e+18,7.038532274369738e+18,6.54934107919713e+18,6.119599064204924e+18
5810.5743600000105,2.2419095591733558e+18,9.13070965328866e+18,8.35275842551028e+18,7.613004424354592e+18,7.020736133779103e+18,6.533335331505325e+18,6.105144732786281e+18
5810.674360000011,2.2329319005799652e+18,9.106220340958065e+18,8.330496306595798e+18,7.593110432849766e+18,7.002948708173236e+18,6.517334998359066e+18,6.090693400287706e+18
5810.774360000011,2.2239737666038802e+18,9.08175150415019e+18,8.30825178240068e+18,7.573229531313205e+18,6.98517002492994e+18,6.50134010386181e+18,6.076245086495934e+18
5810.874360000012,2.215035149400104e+18,9.05730316172566e+18,8.286024875302733e+18,7.553361747117101e+18,6.967400111474311e+18,6.485350672177793e+18,6.06179981126007e+18
5810.974360000012,2.2061160411004744e+18,9.032875332543172e+18,8.263815607674108e+18,7.533507107652053e+18,6.949638995278426e+18,6.469366727531913e+18,6.047357594491586e+18
5811.074360000012,2.197216433813536e+18,9.008468035459151e+18,8.241624001880893e+18,7.513665640326665e+18,6.931886703861117e+18,6.453388294209635e+18,6.032918456164292e+18
5811.174360000013,2.1883363196244285e+18,8.984081289327383e+18,8.219450080282703e+18,7.493837372567159e+18,6.914143264787697e+18,6.437415396556873e+18,6.018482416314352e+18
5811.274360000013,2.1794756905947533e+18,8.959715112998684e+18,8.197293865232307e+18,7.474022331816975e+18,6.896408705669743e+18,6.42144805897992e+18,6.00404949504029e+18
5811.374360000013,2.1706345387624655e+18,8.935369525320531e+18,8.175155379075187e+18,7.454220545536356e+18,6.878683054164821e+18,6.405486305945327e+18,5.989619712502972e+18
5811.474360000014,2.161812856141743e+18,8.911044545136718e+18,8.15303464414916e+18,7.434432041201962e+18,6.860966337976238e+18,6.389530161979796e+18,5.975193088925621e+18
5811.574360000014,2.1530106347228838e+18,8.886740191286981e+18,8.130931682783943e+18,7.414656846306438e+18,6.843258584852778e+18,6.3735796516701e+18,5.960769644593796e+18
5811.6743600000145,2.144227866472178e+18,8.862456482606674e+18,8.108846517300785e+18,7.394894988358046e+18,6.825559822588467e+18,6.357634799662963e+18,5.946349399855411e+18
5811.774360000015,2.1354645433317988e+18,8.838193437926388e+18,8.08677917001202e+18,7.375146494880204e+18,6.807870079022275e+18,6.34169563066495e+18,5.931932375120714e+18
5811.874360000015,2.126720657219686e+18,8.813951076071627e+18,8.064729663220702e+18,7.355411393411146e+18,6.790189382037916e+18,6.325762169442385e+18,5.917518590862305e+18
5811.974360000016,2.1179962000294346e+18,8.789729415862396e+18,8.042698019220136e+18,7.335689711503428e+18,6.772517759563511e+18,6.309834440821204e+18,5.903108067615102e+18
5812.074360000016,2.109291163630189e+18,8.76552847611295e+18,8.020684260293576e+18,7.315981476723609e+18,6.754855239571414e+18,6.293912469686924e+18,5.888700825976393e+18
5812.174360000016,2.1006055398665293e+18,8.741348275631335e+18,7.9986884087137e+18,7.296286716651764e+18,6.737201850077867e+18,6.277996280984442e+18,5.874296886605771e+18
5812.274360000017,2.0919393205583616e+18,8.717188833219098e+18,7.976710486742297e+18,7.276605458881111e+18,6.719557619142792e+18,6.262085899718001e+18,5.859896270225178e+18
5812.374360000017,2.0832924975008174e+18,8.693050167670924e+18,7.954750516629806e+18,7.256937731017583e+18,6.701922574869501e+18,6.246181350951047e+18,5.845498997618879e+18
5812.474360000017,2.074665062464139e+18,8.668932297774259e+18,7.932808520614935e+18,7.23728356067941e+18,6.684296745404424e+18,6.230282659806121e+18,5.83110508963347e+18
5812.574360000018,2.0660570071935887e+18,8.644835242309002e+18,7.910884520924241e+18,7.217642975496715e+18,6.66668015893687e+18,6.21438985146477e+18,5.816714567177878e+18
5812.674360000018,2.0574683234093366e+18,8.620759020047122e+18,7.888978539771752e+18,7.198016003111099e+18,6.649072843698724e+18,6.198502951167417e+18,5.802327451223348e+18
5812.7743600000185,2.0488990028063555e+18,8.596703649752303e+18,7.867090599358508e+18,7.178402671175188e+18,6.631474827964189e+18,6.182621984213252e+18,5.78794376280344e+18
5812.874360000019,2.040349037054341e+18,8.572669150179628e+18,7.84522072187222e+18,7.158803007352266e+18,6.613886140049528e+18,6.166746975960137e+18,5.773563523014056e+18
5812.974360000019,2.0318184177975864e+18,8.548655540075183e+18,7.823368929486803e+18,7.139217039315791e+18,6.596306808312762e+18,6.150877951824462e+18,5.759186753013386e+18
5813.07436000002,2.023307136654907e+18,8.524662838175747e+18,7.801535244362016e+18,7.119644794749045e+18,6.578736861153431e+18,6.135014937281069e+18,5.744813474021951e+18
5813.17436000002,2.0148151852195366e+18,8.500691063208419e+18,7.779719688643033e+18,7.100086301344645e+18,6.561176327012281e+18,6.119157957863112e+18,5.730443707322583e+18
5813.27436000002,2.006342555059032e+18,8.476740233890272e+18,7.757922284460041e+18,7.080541586804169e+18,6.543625234371016e+18,6.103307039161948e+18,5.716077474260421e+18
5813.374360000021,1.9978892377151826e+18,8.452810368928017e+18,7.736143053927843e+18,7.061010678837698e+18,6.526083611752009e+18,6.087462206827038e+18,5.701714796242907e+18
5813.474360000021,1.9894552247039206e+18,8.428901487017642e+18,7.714382019145442e+18,7.041493605163407e+18,6.508551487718018e+18,6.071623486565806e+18,5.687355694739797e+18
5813.574360000021,1.9810405075152271e+18,8.405013606844046e+18,7.692639202195628e+18,7.021990393507124e+18,6.491028890871903e+18,6.055790904143537e+18,5.673000191283133e+18
5813.674360000022,1.9726450776130483e+18,8.381146747080747e+18,7.670914625144608e+18,7.002501071601923e+18,6.473515849856373e+18,6.039964485383263e+18,5.658648307467277e+18
5813.774360000022,1.9642689264352054e+18,8.357300926389465e+18,7.649208310041544e+18,6.983025667187671e+18,6.456012393353654e+18,6.024144256165635e+18,5.64430006494887e+18
5813.8743600000225,1.955912045393315e+18,8.333476163419852e+18,7.627520278918231e+18,6.963564208010625e+18,6.438518550085259e+18,6.008330242428818e+18,5.629955485446869e+18
5813.974360000023,1.947574425872698e+18,8.30967247680906e+18,7.605850553788596e+18,6.94411672182297e+18,6.42103434881165e+18,5.992522470168356e+18,5.615614590742502e+18
5814.074360000023,1.9392560592322967e+18,8.285889885181445e+18,7.584199156648349e+18,6.924683236382391e+18,6.403559818331974e+18,5.976720965437053e+18,5.601277402679295e+18
5814.174360000024,1.9309569368046062e+18,8.262128407148248e+18,7.562566109474603e+18,6.905263779451689e+18,6.386094987483807e+18,5.960925754344886e+18,5.586943943163074e+18
5814.274360000024,1.9226770498955822e+18,8.238388061307179e+18,7.540951434225396e+18,6.885858378798269e+18,6.368639885142795e+18,5.945136863058831e+18,5.572614234161935e+18
5814.374360000024,1.9144163897845642e+18,8.214668866242119e+18,7.519355152839349e+18,6.866467062193761e+18,6.351194540222423e+18,5.929354317802774e+18,5.558288297706268e+18
5814.474360000025,1.906174947724208e+18,8.190970840522769e+18,7.497777287235235e+18,6.847089857413566e+18,6.333758981673688e+18,5.913578144857389e+18,5.543966155888734e+18
5814.574360000025,1.897952714940406e+18,8.167294002704311e+18,7.476217859311593e+18,6.827726792236417e+18,6.316333238484838e+18,5.89780837056001e+18,5.529647830864293e+18
5814.674360000025,1.8897496826322132e+18,8.143638371327057e+18,7.454676890946316e+18,6.808377894443955e+18,6.298917339681051e+18,5.882045021304503e+18,5.515333344850179e+18
5814.774360000026,1.881565841971771e+18,8.120003964916069e+18,7.433154403996217e+18,6.789043191820249e+18,6.281511314324123e+18,5.86628812354113e+18,5.50102272012588e+18
5814.874360000026,1.873401184104247e+18,8.096390801980894e+18,7.411650420296687e+18,6.769722712151405e+18,6.264115191512215e+18,5.850537703776461e+18,5.48671597903318e+18
5814.9743600000265,1.8652557001477627e+18,8.072798901015166e+18,7.390164961661251e+18,6.750416483225106e+18,6.246729000379534e+18,5.834793788573206e+18,5.472413143976135e+18
5815.074360000027,1.8571293811933248e+18,8.049228280496292e+18,7.368698049881179e+18,6.731124532830173e+18,6.229352770096032e+18,5.819056404550129e+18,5.458114237421071e+18
5815.174360000027,1.8490222183047578e+18,8.025678958885084e+18,7.34724970672509e+18,6.711846888756103e+18,6.211986529867098e+18,5.803325578381881e+18,5.443819281896582e+18
5815.274360000028,1.8409342025186483e+18,8.002150954625441e+18,7.325819953938524e+18,6.692583578792647e+18,6.194630308933264e+18,5.787601336798902e+18,5.42952829999353e+18
5815.374360000028,1.8328653248442755e+18,7.978644286144005e+18,7.304408813243593e+18,6.673334630729368e+18,6.177284136569912e+18,5.771883706587283e+18,5.415241314365057e+18
5815.474360000028,1.824815576263549e+18,7.955158971849799e+18,7.283016306338497e+18,6.654100072355154e+18,6.159948042086936e+18,5.75617271458862e+18,5.400958347726545e+18
5815.574360000029,1.8167849477309617e+18,7.931695030133949e+18,7.261642454897238e+18,6.634879931457847e+18,6.142622054828482e+18,5.740468387699925e+18,5.386679422855676e+18
5815.674360000029,1.808773430173517e+18,7.908252479369269e+18,7.240287280569113e+18,6.615674235823718e+18,6.125306204172596e+18,5.72477075287345e+18,5.372404562592373e+18
5815.774360000029,1.8007810144906831e+18,7.884831337909972e+18,7.218950804978369e+18,6.596483013237064e+18,6.108000519530946e+18,5.709079837116592e+18,5.358133789838833e+18
5815.87436000003,1.7928076915543424e+18,7.861431624091339e+18,7.197633049723818e+18,6.577306291479751e+18,6.090705030348509e+18,5.693395667491742e+18,5.343867127559521e+18
5815.97436000003,1.7848534522087265e+18,7.83805335622934e+18,7.176334036378381e+18,6.558144098330749e+18,6.073419766103233e+18,5.677718271116152e+18,5.329604598781158e+18
5816.0743600000305,1.7769182872703757e+18,7.814696552620336e+18,7.155053786488747e+18,6.538996461565699e+18,6.056144756305756e+18,5.662047675161812e+18,5.31534622659273e+18
5816.174360000031,1.7690021875280852e+18,7.791361231540729e+18,7.133792321574945e+18,6.519863408956447e+18,6.038880030499082e+18,5.646383906855307e+18,5.301092034145492e+18
5816.274360000031,1.7611051437428557e+18,7.768047411246624e+18,7.112549663129947e+18,6.500744968270595e+18,6.021625618258246e+18,5.630726993477693e+18,5.286842044652955e+18
5816.374360000032,1.7532271466478633e+18,7.744755109973535e+18,7.09132583261931e+18,6.481641167271073e+18,6.00438154919005e+18,5.615076962364365e+18,5.272596281390909e+18
5816.474360000032,1.7453681869483901e+18,7.721484345935974e+18,7.070120851480715e+18,6.46255203371563e+18,5.98714785293268e+18,5.599433840904892e+18,5.258354767697394e+18
5816.574360000032,1.7375282553218048e+18,7.698235137327205e+18,7.048934741123632e+18,6.443477595356435e+18,5.969924559155436e+18,5.583797656542924e+18,5.244117526972724e+18
5816.674360000033,1.729707342417503e+18,7.675007502318816e+18,7.027767522928857e+18,6.424417879939557e+18,5.952711697558365e+18,5.568168436775998e+18,5.229884582679466e+18
5816.774360000033,1.7219054388568883e+18,7.651801459060511e+18,7.006619218248214e+18,6.405372915204598e+18,5.935509297872006e+18,5.552546209155479e+18,5.215655958342476e+18
5816.874360000033,1.714122535233322e+18,7.628617025679686e+18,6.985489848404088e+18,6.38634272888416e+18,5.918317389857027e+18,5.536931001286363e+18,5.201431677548879e+18
5816.974360000034,1.7063586221120837e+18,7.605454220281081e+18,6.964379434689011e+18,6.36732734870338e+18,5.901136003303859e+18,5.521322840827123e+18,5.187211763948032e+18
5817.074360000034,1.698613690030356e+18,7.582313060946566e+18,6.943287998365367e+18,6.34832680237956e+18,5.883965168032469e+18,5.50572175548965e+18,5.172996241251622e+18
5817.1743600000345,1.6908877294971717e+18,7.559193565734701e+18,6.922215560664906e+18,6.329341117621593e+18,5.866804913891948e+18,5.490127773039025e+18,5.158785133233566e+18
5817.274360000035,1.6831807309934052e+18,7.536095752680472e+18,6.901162142788401e+18,6.310370322129593e+18,5.849655270760231e+18,5.47454092129344e+18,5.144578463730085e+18
5817.374360000035,1.6754926849717148e+18,7.513019639794915e+18,6.880127765905232e+18,6.291414443594365e+18,5.832516268543735e+18,5.458961228124009e+18,5.130376256639659e+18
5817.474360000036,1.667823581856552e+18,7.489965245064845e+18,6.859112451153019e+18,6.272473509696996e+18,5.815387937177057e+18,5.443388721454672e+18,5.116178535923064e+18
5817.574360000036,1.6601734120441016e+18,7.466932586452475e+18,6.838116219637195e+18,6.253547548108347e+18,5.798270306622617e+18,5.427823429262001e+18,5.101985325603348e+18
5817.674360000036,1.6525421659022935e+18,7.443921681895151e+18,6.817139092430677e+18,6.234636586488628e+18,5.781163406870356e+18,5.412265379575116e+18,5.087796649765863e+18
5817.774360000037,1.6449298337707546e+18,7.420932549305003e+18,6.796181090573442e+18,6.21574065248693e+18,5.764067267937383e+18,5.396714600475508e+18,5.07361253255826e+18
5817.874360000037,1.6373364059607967e+18,7.397965206568568e+18,6.775242235072094e+18,6.196859773740695e+18,5.746981919867613e+18,5.381171120096865e+18,5.059432998190452e+18
5817.974360000037,1.6297618727554076e+18,7.375019671546567e+18,6.754322546899573e+18,6.177993977875334e+18,5.729907392731485e+18,5.36563496662499e+18,5.045258070934681e+18
5818.074360000038,1.6222062244092242e+18,7.352095962073504e+18,6.733422046994686e+18,6.159143292503719e+18,5.712843716625583e+18,5.350106168297605e+18,5.031087775125481e+18
5818.174360000038,1.614669451148525e+18,7.32919409595739e+18,6.712540756261771e+18,6.140307745225712e+18,5.695790921672307e+18,5.334584753404232e+18,5.016922135159706e+18
5818.2743600000385,1.6071515431712197e+18,7.306314090979406e+18,6.691678695570288e+18,6.121487363627713e+18,5.678749038019533e+18,5.319070750286027e+18,5.002761175496506e+18
5818.374360000039,1.599652490646839e+18,7.283455964893591e+18,6.670835885754448e+18,6.10268217528218e+18,5.661718095840287e+18,5.303564187335652e+18,4.988604920657376e+18
5818.474360000039,1.5921722837165125e+18,7.26061973542649e+18,6.650012347612791e+18,6.083892207747135e+18,5.644698125332348e+18,5.28806509299709e+18,4.974453395226099e+18
5818.57436000004,1.5847109124929887e+18,7.237805420276924e+18,6.629208101907891e+18,6.065117488565768e+18,5.62768915671799e+18,5.272573495765562e+18,4.960306623848833e+18
5818.67436000004,1.5772683670606088e+18,7.215013037115562e+18,6.608423169365864e+18,6.046358045265869e+18,5.610691220243543e+18,5.257089424187291e+18,4.946164631234037e+18
5818.77436000004,1.5698446374753126e+18,7.192242603584699e+18,6.587657570676074e+18,6.027613905359429e+18,5.593704346179117e+18,5.241612906859429e+18,4.932027442152537e+18
5818.874360000041,1.5624397137646354e+18,7.16949413729787e+18,6.566911326490695e+18,6.008885096342114e+18,5.5767285648182e+18,5.226143972429842e+18,4.917895081437488e+18
5818.974360000041,1.555053585927716e+18,7.146767655839594e+18,6.546184457424372e+18,5.990171645692845e+18,5.559763906477349e+18,5.210682649597015e+18,4.903767573984425e+18
5819.074360000041,1.547686243935296e+18,7.124063176765039e+18,6.525476984053829e+18,5.971473580873286e+18,5.542810401495827e+18,5.195228967109866e+18,4.889644944751239e+18
5819.174360000042,1.5403376777297188e+18,7.101380717599678e+18,6.504788926917462e+18,5.95279092932736e+18,5.525868080235218e+18,5.17978295376758e+18,4.875527218758185e+18
5819.274360000042,1.5330078772249498e+18,7.078720295839042e+18,6.484120306515018e+18,5.934123718480816e+18,5.508936973079124e+18,5.164344638419498e+18,4.861414421087917e+18
5819.3743600000425,1.5256968323065761e+18,7.056081928948359e+18,6.463471143307164e+18,5.915471975740715e+18,5.492017110432774e+18,5.148914049964919e+18,4.84730657688547e+18
5819.474360000043,1.5184045328318208e+18,7.033465634362268e+18,6.442841457715151e+18,5.896835728494966e+18,5.475108522722675e+18,5.133491217352978e+18,4.833203711358281e+18
5819.574360000043,1.5111309686295572e+18,7.010871429484489e+18,6.422231270120403e+18,5.878215004111842e+18,5.458211240396253e+18,5.118076169582459e+18,4.819105849776185e+18
5819.674360000044,1.5038761295003233e+18,6.988299331687545e+18,6.401640600864185e+18,5.859609829939518e+18,5.441325293921502e+18,5.102668935701664e+18,4.805013017471452e+18
5819.774360000044,1.49664000521634e+18,6.965749358312455e+18,6.381069470247207e+18,5.84102023330558e+18,5.424450713786625e+18,5.087269544808249e+18,4.790925239838776e+18
5819.874360000044,1.4894225855215322e+18,6.9432215266684e+18,6.360517898529245e+18,5.822446241516537e+18,5.407587530499649e+18,5.071878026049058e+18,4.776842542335292e+18
5819.974360000045,1.482223860131544e+18,6.920715854032424e+18,6.339985905928778e+18,5.803887881857357e+18,5.390735774588072e+18,5.05649440861996e+18,4.762764950480582e+18
5820.074360000045,1.475043818733769e+18,6.898232357649165e+18,6.319473512622631e+18,5.785345181590969e+18,5.373895476598514e+18,5.041118721765711e+18,4.748692489856686e+18
